"","contrast","plant","estimate","SE","df","t.ratio","p.value"
"1","ambient - elevated","AMDU",0.767324739487836,1.48686130525901,64.9159901164826,0.516070151784715,0.607558836418169
"2","ambient - elevated","INSP",0.32417946083278,1.68745278669426,64.9159901164856,0.192111722110964,0.848254391171482
"3","ambient - elevated","LATR",3.63662810685065,1.48686130525901,64.9159901164856,2.44584218715487,0.0171713683525662
"4","ambient - elevated","LYAN",3.45708769663971,1.48686130525901,64.9159901164856,2.32509090418321,0.02320440467244
"5","ambient - elevated","LYPA",-3.83664033251416,1.48686130525901,64.9159901164859,-2.58036194697112,0.0121403170617452
"6","ambient - elevated","PLRI",-1.57292302208281,1.53433439211596,67.1659094843887,-1.02515007821316,0.308970395499559
