"","contrast","method","plant","estimate","SE","df","t.ratio","p.value"
"1","ambient - elevated","DA","AMDU",0.443888134443634,0.643679257209112,61.1320710755679,0.689610748633193,0.493048524018261
"2","ambient - elevated","fum","AMDU",-1.38402965000084,0.643679257209113,61.1320710755691,-2.15018525841855,0.0355047689161227
"3","ambient - elevated","DA","INSP",0.33384341333309,0.64367925720911,61.1320710755737,0.518648705227167,0.605878139279777
"4","ambient - elevated","fum","INSP",0.133414036995007,0.715168418215398,78.0483891841225,0.186549117098771,0.852498208783942
"5","ambient - elevated","DA","LATR",0.568412339999771,0.64367925720911,61.1320710755734,0.883067667061879,0.380659232049967
"6","ambient - elevated","fum","LATR",1.34162217777755,0.64367925720911,61.1320710755734,2.08430233342397,0.0413183909495769
"7","ambient - elevated","DA","LYAN",0.259412328888669,0.64367925720911,61.1320710755734,0.403014895980087,0.688343296569897
"8","ambient - elevated","fum","LYAN",2.68626805777755,0.64367925720911,61.1320710755734,4.17330219622857,9.65818221089462e-05
"9","ambient - elevated","DA","LYPA",0.856950703333102,0.64367925720911,61.1320710755737,1.3313318609158,0.188023374581504
"10","ambient - elevated","fum","LYPA",-0.0443812722224594,0.64367925720911,61.1320710755734,-0.0689493590563869,0.945254968647209
"11","ambient - elevated","DA","PLRI",0.540359527777531,0.64367925720911,61.1320710755737,0.839485693729582,0.404467845198846
"12","ambient - elevated","fum","PLRI",3.55054332968346,0.661185212468041,65.817274426561,5.3699678437002,1.1033401056884e-06
