plant,ring,treatment,rep,bulkdensity,DA_perC,DA_isoC,fum_perC,fum_isoC,DA_permassloss
PLRI,1,elevated,1,1701998.865,0.104413139,-21.03124263,0.224404025,-27.16196621,0.155339806
PLRI,1,elevated,2,1701998.865,0.174814008,-20.49750921,0.261414344,-25.18574724,0.165048544
PLRI,1,elevated,3,1701998.865,0.11141556,-19.91209211,0.219248217,-26.76770561,0.13
PLRI,2,elevated,1,1701998.865,0.13875235,-22.0718737,0.254409671,-25.54854565,0.17
PLRI,2,elevated,2,1701998.865,0.104865186,-21.61169014,,,0.168316832
PLRI,2,elevated,3,1701998.865,0.098243617,-22.20307074,0.251492332,-31.23435377,0.181818182
PLRI,3,elevated,1,1701998.865,0.130116014,-22.07386154,0.242471861,-28.31131944,0.18
PLRI,3,elevated,2,1701998.865,0.133979636,-22.45751349,0.249573538,-28.06060509,0.138613861
PLRI,3,elevated,3,1701998.865,0.129960323,-22.71394407,0.243659549,-26.2082685,0.158415842
PLRI,4,ambient,1,1701998.865,0.120117426,-19.73616881,0.21279488,-26.24956263,0.192307692
PLRI,4,ambient,2,1701998.865,0.108663421,-19.51253749,0.183517718,-22.75725925,0.174757282
PLRI,4,ambient,3,1701998.865,0.29053369,-22.53802077,0.49588986,-23.69129309,0.17
PLRI,5,ambient,1,1701998.865,0.154908472,-21.66337383,0.273864899,-23.80239396,0.19
PLRI,5,ambient,2,1701998.865,0.18264711,-21.78860736,0.234888414,-22.62354493,0.176470588
PLRI,5,ambient,3,1701998.865,0.100119919,-21.64846507,0.206828181,-25.58492381,0.188118812
PLRI,6,ambient,1,1701998.865,0.113657722,-20.99347378,0.201697488,-22.37971294,0.18
PLRI,6,ambient,2,1701998.865,0.116095906,-21.03422438,0.183722061,-22.26074652,0.165048544
PLRI,6,ambient,3,1701998.865,0.122367498,-20.79469039,0.171161767,-24.88980599,0.15
LATR,1,elevated,1,1701998.865,0.414769408,-23.92141182,0.478988368,-24.73052864,0.17
LATR,1,elevated,2,1701998.865,0.382750853,-24.10821039,0.5160993,-24.47588152,0.16
LATR,1,elevated,3,1701998.865,0.278576844,-23.7790891,0.445215351,-24.99795728,0.16
LATR,2,elevated,1,1701998.865,0.244834378,-23.41834054,0.316709584,-26.19941976,0.188118812
LATR,2,elevated,2,1701998.865,0.200880401,-23.58438372,0.29936251,-24.46604959,0.19
LATR,2,elevated,3,1701998.865,0.221514141,-24.25745157,0.329507805,-26.31150382,0.158415842
LATR,3,elevated,1,1701998.865,0.256111734,-23.25526243,0.328053739,-26.93878128,0.18
LATR,3,elevated,2,1701998.865,0.160857956,-23.3096218,0.301077369,-25.3735372,0.17
LATR,3,elevated,3,1701998.865,0.203042804,-23.44799111,0.311389726,-27.12952083,0.18
LATR,4,ambient,1,1701998.865,0.492140987,-23.29084311,0.317410296,-25.41778091,0.158415842
LATR,4,ambient,2,1701998.865,0.218045897,-23.13567181,0.624489627,-23.74733512,0.19
LATR,4,ambient,3,1701998.865,0.520718297,-23.29380816,0.321495391,-24.61844458,0.148514851
LATR,5,ambient,1,1701998.865,0.508751901,-22.9992792,0.647430981,-23.79551161,0.198019802
LATR,5,ambient,2,1701998.865,0.410289079,-22.67509968,0.579643847,-23.53594852,0.19
LATR,5,ambient,3,1701998.865,0.274281863,-24.04199079,0.607058362,-22.80740212,0.2
LATR,6,ambient,1,1701998.865,0.464345904,-22.86585166,0.442715072,-23.41599891,0.198019802
LATR,6,ambient,2,1701998.865,0.417763134,-23.15840391,0.5432962,-23.59002416,0.178217822
LATR,6,ambient,3,1701998.865,0.103814115,-22.5051031,0.218373409,-27.62013439,0.19
INSP,1,elevated,1,1701998.865,0.084182073,-22.74724939,0.172572395,-26.63880004,0.16
INSP,1,elevated,2,1701998.865,0.142927585,-23.5537448,0.172572395,-26.63880004,0.18
INSP,1,elevated,3,1701998.865,0.121438343,-20.86246172,0.155812769,-25.18552184,0.17
INSP,2,elevated,1,1701998.865,0.090746739,-22.61184514,,,0.168316832
INSP,2,elevated,2,1701998.865,0.173024783,-23.7583337,,,0.17
INSP,2,elevated,3,1701998.865,0.103766783,-21.37739322,,,0.15
INSP,3,elevated,1,1701998.865,0.105850721,-21.71442133,0.16630046,-23.78467641,0.188118812
INSP,3,elevated,2,1701998.865,0.102685718,-21.71343298,0.16630046,-23.78467641,0.18
INSP,3,elevated,3,1701998.865,0.207174821,-24.36221691,0.298796743,-26.97417193,0.16
INSP,4,ambient,1,1701998.865,0.130504922,-22.75021445,0.209087997,-25.85824422,0.19
INSP,4,ambient,2,1701998.865,0.072806255,-22.64742582,0.147028313,-25.81768302,0.17
INSP,4,ambient,3,1701998.865,0.096229782,-22.4161514,0.161169703,-28.62333105,0.17
INSP,5,ambient,1,1701998.865,0.105367802,-21.66599207,0.145822952,-24.46333458,0.188118812
INSP,5,ambient,2,1701998.865,0.115282069,-21.27065118,0.161210698,-23.9152637,0.18
INSP,5,ambient,3,1701998.865,0.07713335,-22.3706872,0.144495953,-28.25828023,0.2
INSP,6,ambient,1,1701998.865,0.143199693,-22.62469372,0.176518972,-24.80958874,0.2
INSP,6,ambient,2,1701998.865,0.276476565,-21.97336961,0.38624694,-23.15053664,0.188118812
INSP,6,ambient,3,1701998.865,0.09877003,-21.97732302,0.165218785,-25.04899877,0.18
